Minutes,Price
0,8.331683333
1,8.333775
2,8.3360875
3,8.344625
4,8.346854167
5,8.342758333
6,8.3458875
7,8.347158333
8,8.341604167
9,8.356233333
10,8.354408333
11,8.357054167
12,8.360329167
13,8.3622625
14,8.363383333
15,8.363120833
16,8.387416667
17,8.396691667
18,8.412808333
19,8.41155
20,8.4056875
21,8.3965375
22,8.386908333
23,8.377266667
24,8.367720833
25,8.361858333
26,8.359229167
27,8.3565375
28,8.368866667
29,8.3641875
30,8.363516667
31,8.3560375
32,8.3565125
33,8.352016667
34,8.340620833
35,8.331858333
36,8.338791667
37,8.33665
38,8.326025
39,8.331991667
40,8.3216
41,8.325058333
42,8.3224
43,8.3259875
44,8.32405
45,8.326970833
46,8.325725
47,8.319775
48,8.325266667
49,8.3170875
50,8.318041667
51,8.321704167
52,8.332308333
53,8.345833333
54,8.353933333
55,8.356575
56,8.360391667
57,8.374766667
58,8.383204167
59,8.3805125
60,8.378541667
61,8.390020833
62,8.400608333
63,8.412541667
64,8.4121
65,8.412425
66,8.406008333
67,8.4002625
68,8.397791667
69,8.395225
70,8.395654167
71,8.396029167
72,8.395158333
73,8.3932875
74,8.3995625
75,8.395520833
76,8.391995833
77,8.393145833
78,8.397370833
79,8.404316667
80,8.415654167
81,8.421154167
82,8.4212375
83,8.4153875
84,8.422845833
85,8.428325
86,8.4187
87,8.401916667
88,8.406554167
89,8.400691667
90,8.3997375
91,8.395016667
92,8.403675
93,8.4129375
94,8.415616667
95,8.413566667
96,8.414779167
97,8.424033333
98,8.421833333
99,8.4248375
100,8.441208333
101,8.426908333
102,8.430925
103,8.4347625
104,8.4147
105,8.414933333
106,8.413175
107,8.417466667
108,8.4249375
109,8.432775
110,8.430516667
111,8.425166667
112,8.4171875
113,8.415658333
114,8.418854167
115,8.416216667
116,8.416691667
117,8.419504167
118,8.41395
119,8.418625
120,8.418179167
121,8.409520833
122,8.404183333
123,8.388904167
124,8.400558333
125,8.408383333
126,8.412975
127,8.404033333
128,8.406358333
129,8.402266667
130,8.3994375
131,8.402875
132,8.4028125
133,8.394233333
134,8.394320833
135,8.38835
136,8.386895833
137,8.386129167
138,8.391754167
139,8.390429167
140,8.388133333
141,8.386808333
142,8.388433333
143,8.386016667
144,8.3922875
145,8.3845
146,8.390558333
147,8.37705
148,8.36475
149,8.382379167
150,8.405441667
151,8.41465
152,8.404241667
153,8.398304167
154,8.405558333
155,8.4079875
156,8.408058333
157,8.404941667
158,8.3997875
159,8.404425
160,8.405825
161,8.392470833
162,8.394991667
163,8.402666667
164,8.410679167
165,8.426216667
166,8.416775
167,8.401995833
168,8.4053125
169,8.405304167
170,8.404804167
171,8.4057375
172,8.411533333
173,8.411725
174,8.409691667
175,8.403079167
176,8.3952
177,8.3953875
178,8.388870833
179,8.388870833
180,8.383175
181,8.399345833
182,8.409116667
183,8.410475
184,8.414116667
185,8.422545833
186,8.431729167
187,8.428775
188,8.422045833
189,8.419245833
190,8.4209875
191,8.424895833
192,8.429725
193,8.428670833
194,8.423933333
195,8.421979167
196,8.421054167
197,8.4222375
198,8.425358333
199,8.4280625
200,8.4316
201,8.4333
202,8.43215
203,8.436304167
204,8.4355875
205,8.44185
206,8.448908333
207,8.454433333
208,8.4573375
209,8.454066667
210,8.428595833
211,8.4225875
212,8.410991667
213,8.436966667
214,8.437120833
215,8.422408333
216,8.426025
217,8.424591667
218,8.421933333
219,8.422133333
220,8.423220833
221,8.4294125
222,8.423091667
223,8.422683333
224,8.416933333
225,8.409508333
226,8.402679167
227,8.393370833
228,8.399891667
229,8.399120833
230,8.4012625
231,8.4016125
232,8.402995833
233,8.404175
234,8.409775
235,8.41295
236,8.4157125
237,8.4442375
238,8.446716667
239,8.443170833
240,8.4582125
241,8.470604167
242,8.466229167
243,8.461095833
244,8.453154167
245,8.456133333
246,8.457241667
247,8.4530375
248,8.450895833
249,8.441733333
250,8.435933333
251,8.419904167
252,8.414308333
253,8.407079167
254,8.37615
255,8.383770833
256,8.398495833
257,8.387629167
258,8.377
259,8.38975
260,8.409441667
261,8.428408333
262,8.445370833
263,8.445433333
264,8.4439125
265,8.442958333
